country,year,m014,m1524,m2534,m3544,m4554,m5564,m65,mu,f014,f1524,f2534,f3544,f4554,f5564,f65,fu
AD,2000,0,0,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AE,2000,2,4,4,6,5,12,10,NaN,3,16,1,3,0,0,4,NaN
AF,2000,52,228,183,149,129,94,80,NaN,93,414,565,339,205,99,36,NaN
AG,2000,0,0,0,0,0,0,1,NaN,1,1,1,0,0,0,0,NaN
AL,2000,2,19,21,14,24,19,16,NaN,3,11,10,8,8,5,11,NaN
AM,2000,2,152,130,131,63,26,21,NaN,1,24,27,24,8,8,4,NaN
AN,2000,0,0,1,2,0,0,0,NaN,0,0,1,0,0,1,0,NaN
AO,2000,186,999,1003,912,482,312,194,NaN,247,1142,1091,844,417,200,120,NaN
AR,2000,97,278,594,402,419,368,330,NaN,121,544,479,262,230,179,216,NaN
AS,2000,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN
AT,2000,1,17,30,59,42,23,41,NaN,1,11,22,12,11,6,22,NaN
AU,2000,3,16,35,25,24,19,49,NaN,0,15,19,12,15,5,14,NaN
AZ,2000,0,9,24,33,42,30,0,NaN,0,3,3,6,3,0,0,NaN
BA,2000,4,56,82,99,66,58,77,NaN,4,30,46,29,29,48,124,NaN
BB,2000,0,0,0,2,0,0,0,NaN,0,0,1,0,0,0,0,NaN
BD,2000,256,3640,5643,5750,4718,3667,2837,NaN,495,3029,3238,2247,1315,778,370,NaN
BE,2000,3,20,57,39,55,32,56,NaN,6,15,15,19,4,13,27,NaN
BF,2000,12,91,274,252,133,68,65,NaN,7,59,128,101,45,38,14,NaN
BG,2000,0,13,16,20,3,9,10,NaN,0,11,14,7,3,4,6,NaN
BH,2000,0,0,3,2,5,3,4,NaN,0,1,2,0,1,1,1,NaN
BI,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BJ,2000,19,277,428,327,213,103,74,NaN,36,239,275,149,76,45,25,NaN
BM,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BN,2000,0,6,4,15,5,7,15,NaN,0,4,6,9,6,3,4,NaN
BO,2000,166,1182,797,518,466,340,366,NaN,191,831,588,334,254,192,233,NaN
BR,2000,1894,7268,11568,11906,8623,5085,4494,NaN,1859,6719,7215,5395,3582,2384,2496,NaN
BS,2000,1,2,7,9,4,3,2,NaN,2,5,7,8,2,3,1,NaN
BT,2000,6,65,41,30,24,12,2,NaN,7,57,34,31,23,3,2,NaN
BW,2000,25,185,605,488,267,135,96,NaN,37,335,469,262,98,57,36,NaN
BY,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BZ,2000,2,5,7,2,6,3,5,NaN,0,2,1,2,4,1,4,NaN
CA,2000,5,34,45,46,41,32,79,NaN,4,33,40,30,25,12,66,NaN
CD,2000,485,4048,5833,4151,2549,1295,602,NaN,718,4422,5146,3309,1724,855,351,NaN
CF,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CH,2000,0,5,18,10,7,5,8,NaN,1,9,12,8,2,1,6,NaN
CI,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CK,2000,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,NaN
CL,2000,6,81,160,198,150,132,126,NaN,10,66,96,70,54,58,83,NaN
CM,2000,41,518,842,584,284,130,75,NaN,63,368,530,293,139,60,33,NaN
CN,2000,1131,19111,29399,25206,25593,21429,21771,NaN,1420,14536,18496,12377,9899,7102,6296,NaN
CO,2000,246,763,1030,963,743,610,746,NaN,194,587,758,523,381,304,510,NaN
CR,2000,14,31,53,62,39,28,49,NaN,13,21,33,24,20,23,24,NaN
CU,2000,0,71,167,90,74,55,75,NaN,2,9,22,26,22,23,39,NaN
CV,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CY,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CZ,2000,0,7,31,52,89,61,59,NaN,0,15,13,9,10,7,57,NaN
DE,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DJ,2000,17,302,347,139,67,60,42,NaN,12,147,156,47,31,17,10,NaN
DK,2000,5,10,20,24,16,11,14,NaN,5,16,15,14,6,7,8,NaN
DO,2000,73,410,481,344,173,125,113,NaN,65,317,325,212,115,79,75,NaN
DZ,2000,59,927,1516,610,491,234,299,NaN,36,1005,1293,746,314,208,312,NaN
EC,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
EE,2000,0,6,31,53,56,35,15,NaN,0,9,11,14,11,4,10,NaN
EG,2000,21,641,827,667,476,307,158,NaN,55,457,343,257,211,112,48,NaN
ER,2000,9,70,75,57,32,25,20,NaN,10,100,87,71,21,12,8,NaN
ES,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ET,2000,915,5095,5187,3082,1495,610,397,NaN,1037,4699,4424,2105,976,366,122,NaN
FI,2000,0,3,8,22,19,28,53,NaN,0,1,5,3,4,6,49,NaN
FJ,2000,0,8,6,13,5,4,2,NaN,0,7,5,7,1,4,0,NaN
FM,2000,0,2,0,1,0,0,1,NaN,4,3,1,1,0,1,1,NaN
FR,2000,10,136,248,247,211,125,244,NaN,18,108,127,89,46,43,155,NaN
GB,2000,8,86,130,96,87,75,138,NaN,9,95,114,60,31,31,67,NaN
GD,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GE,2000,4,76,111,113,63,45,28,NaN,1,49,37,33,17,10,5,NaN
GH,2000,73,550,1266,1115,811,495,426,NaN,74,456,791,566,338,179,176,NaN
GN,2000,39,551,860,570,282,203,103,NaN,66,314,446,245,114,82,45,NaN
GR,2000,1,10,22,32,24,19,46,NaN,0,2,9,10,5,6,25,NaN
GT,2000,36,220,236,216,177,112,140,NaN,41,199,167,175,135,87,111,NaN
GU,2000,2,1,6,6,9,6,9,NaN,0,3,1,2,5,2,2,NaN
GW,2000,2,52,92,80,64,39,19,NaN,4,30,46,47,24,15,12,NaN
GY,2000,4,20,19,14,7,6,9,NaN,1,11,8,7,5,5,3,NaN
HK,2000,4,78,102,160,211,236,578,NaN,5,65,115,86,44,45,211,NaN
HN,2000,30,123,371,246,277,214,43,NaN,25,21,269,258,270,160,38,NaN
HR,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HT,2000,67,836,898,613,350,147,118,NaN,96,914,857,513,275,132,71,NaN
HU,2000,0,8,24,85,104,58,27,NaN,1,7,17,19,22,10,30,NaN
ID,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IE,2000,0,10,7,7,6,4,12,NaN,0,13,8,13,6,7,15,NaN
IL,2000,0,16,28,17,24,10,31,NaN,2,11,15,7,3,7,25,NaN
IN,2000,1588,20963,31090,30829,24230,15308,8534,NaN,2250,14495,17287,11768,7516,4594,2697,NaN
IQ,2000,21,627,317,297,205,135,101,NaN,37,338,241,136,134,103,87,NaN
IR,2000,29,438,467,387,295,344,642,NaN,77,593,410,322,320,407,647,NaN
IS,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,NaN,NaN,NaN
IT,2000,12,63,96,75,58,54,112,NaN,6,38,58,33,13,19,39,NaN
JM,2000,0,6,13,13,15,6,5,NaN,1,8,8,7,2,5,1,NaN
JO,2000,0,8,16,13,9,14,2,NaN,0,8,9,1,2,2,5,NaN
JP,2000,2,246,572,676,1494,1509,3816,NaN,5,222,464,213,292,384,1958,NaN
KE,2000,264,3739,6653,3548,1630,630,414,NaN,416,3916,4363,1874,831,347,148,NaN
KG,2000,4,128,227,205,115,52,46,NaN,6,128,146,100,41,30,29,NaN
KH,2000,26,519,1323,1618,1456,1373,1058,NaN,38,457,1157,1649,1798,1459,892,NaN
KI,2000,2,9,3,3,3,8,2,NaN,2,5,6,3,4,1,3,NaN
KM,2000,0,18,7,14,9,3,4,NaN,1,9,6,12,1,2,1,NaN
KN,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KP,2000,293,928,1508,2927,2519,1167,651,NaN,167,683,1121,2004,1524,591,357,NaN
KR,2000,19,821,1085,988,853,731,901,NaN,25,546,544,393,220,295,795,NaN
KW,2000,0,10,44,32,21,11,5,NaN,1,11,24,12,5,3,1,NaN
KY,2000,0,0,3,1,0,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KZ,2000,36,1057,1409,1379,923,439,218,NaN,84,999,1079,599,275,202,204,NaN
LA,2000,7,92,128,166,201,177,176,NaN,10,59,95,131,122,91,71,NaN
LB,2000,5,16,28,20,15,17,14,NaN,4,31,26,9,7,4,6,NaN
LC,2000,0,0,0,1,0,1,2,NaN,0,1,0,1,0,1,0,NaN
LK,2000,25,266,459,695,793,484,360,NaN,23,312,264,176,202,144,113,NaN
LR,2000,12,133,196,127,52,17,26,NaN,21,140,149,88,28,16,16,NaN
LS,2000,8,165,458,517,395,198,76,NaN,11,222,336,195,83,36,29,NaN
LT,2000,1,38,97,145,155,74,68,NaN,0,20,37,39,32,22,48,NaN
LU,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LV,2000,0,53,106,124,111,64,34,NaN,2,25,41,27,28,7,15,NaN
LY,2000,5,101,239,86,36,29,32,NaN,6,43,35,24,24,16,22,NaN
MA,2000,99,2061,2423,1705,855,485,595,NaN,170,1530,1121,672,398,406,352,NaN
MC,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MD,2000,2,52,31,36,13,13,6,NaN,1,16,32,45,23,14,6,NaN
MG,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MH,2000,3,5,4,1,3,5,3,NaN,7,7,3,0,2,2,0,NaN
MK,2000,5,8,14,20,19,20,14,NaN,1,15,14,17,5,5,10,NaN
ML,2000,23,206,430,396,297,235,144,NaN,14,174,232,152,106,75,43,NaN
MM,2000,88,1459,2636,2781,2161,1235,836,NaN,72,1040,1592,1397,987,592,378,NaN
MN,2000,6,181,260,171,68,38,23,NaN,32,200,213,113,41,26,17,NaN
MO,2000,0,10,8,25,22,9,17,NaN,0,10,4,6,6,3,13,NaN
MP,2000,1,4,8,9,9,3,2,NaN,0,10,17,7,3,1,1,NaN
MR,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MS,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT,2000,0,1,0,1,1,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MU,2000,2,6,9,18,19,14,8,NaN,1,5,8,8,6,7,4,NaN
MV,2000,0,9,10,2,5,5,3,NaN,0,11,4,5,4,5,2,NaN
MW,2000,50,653,1476,1113,585,245,114,NaN,66,1038,1481,831,401,148,64,NaN
MX,2000,214,1079,1387,1162,1235,972,1126,NaN,176,663,828,698,832,595,709,NaN
MY,2000,32,694,1138,1177,908,814,891,NaN,41,464,564,424,367,356,286,NaN
MZ,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,2000,18,269,874,665,300,147,81,NaN,16,352,654,348,161,76,52,NaN
NC,2000,1,1,3,4,2,3,4,NaN,1,8,1,1,3,2,4,NaN
NE,2000,29,270,174,441,252,151,78,NaN,31,123,206,168,151,63,9,NaN
NG,2000,157,2173,3164,1836,1091,566,463,NaN,239,2934,2434,1110,676,344,231,NaN
NI,2000,18,194,174,147,108,64,90,NaN,34,188,173,98,76,46,61,NaN
NL,2000,0,34,63,41,25,10,21,NaN,4,29,22,16,9,5,10,NaN
NO,2000,0,1,9,3,6,2,4,NaN,1,3,1,NaN,NaN,2,5,NaN
NP,2000,170,1904,1763,1713,1491,1294,772,NaN,176,1267,1078,833,575,419,228,NaN
NR,2000,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN
NU,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NZ,2000,0,6,5,6,8,10,7,NaN,1,6,6,5,0,4,10,NaN
OM,2000,1,8,9,11,12,9,11,NaN,2,17,5,7,5,11,6,NaN
PA,2000,3,44,78,61,37,27,26,NaN,6,43,34,35,19,12,16,NaN
PE,2000,552,5290,2875,1546,1041,801,796,NaN,633,3686,2472,1156,609,499,624,NaN
PF,2000,1,3,3,4,4,4,3,NaN,1,4,1,0,1,0,0,NaN
PG,2000,8,87,70,30,21,12,5,NaN,6,77,45,21,15,5,1,NaN
PH,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PK,2000,55,498,387,256,232,153,130,NaN,130,591,416,274,163,103,56,NaN
PL,2000,1,99,303,812,782,361,434,NaN,1,99,158,211,170,82,421,NaN
PR,2000,0,1,4,19,9,10,14,NaN,1,4,5,3,7,1,3,NaN
PS,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PT,2000,8,147,375,349,208,140,140,NaN,5,114,154,87,41,25,64,NaN
PY,2000,16,112,103,105,86,80,71,NaN,12,69,86,41,41,30,46,NaN
QA,2000,0,7,19,9,7,2,1,NaN,0,0,4,3,1,0,0,NaN
RO,2000,46,832,1508,1799,1684,916,533,NaN,53,701,766,484,341,207,321,NaN
RU,2000,1,295,526,596,402,151,54,NaN,1,43,73,74,38,31,44,NaN
RW,2000,155,466,974,824,393,129,56,NaN,105,396,473,309,109,52,14,NaN
SA,2000,0,131,268,213,158,86,107,NaN,28,172,182,79,51,50,70,NaN
SB,2000,3,13,4,8,8,10,6,NaN,8,15,13,7,7,5,2,NaN
SC,2000,NaN,NaN,2,4,1,1,NaN,NaN,NaN,NaN,1,0,1,1,NaN,NaN
SD,2000,785,1028,1511,1351,1119,638,677,NaN,817,925,1134,905,771,327,323,NaN
SE,2000,0,9,10,12,11,4,25,NaN,1,9,8,10,2,2,15,NaN
SG,2000,1,8,9,34,51,26,64,NaN,1,9,8,7,9,5,16,NaN
SI,2000,0,3,11,36,22,14,17,NaN,0,3,9,3,4,3,20,NaN
SK,2000,2,6,15,31,50,16,32,NaN,0,5,9,7,5,4,54,NaN
SL,2000,18,287,486,361,190,113,47,NaN,27,249,298,225,92,49,30,NaN
SM,2000,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SN,2000,60,772,1297,857,470,279,189,NaN,77,521,540,376,217,107,61,NaN
SO,2000,113,740,724,408,254,195,142,NaN,85,354,319,219,110,72,41,NaN
SR,2000,1,6,6,3,2,0,4,NaN,2,3,6,3,0,1,1,NaN
ST,2000,1,5,11,4,7,3,10,NaN,3,7,15,5,7,4,15,NaN
SV,2000,13,99,124,114,92,62,107,NaN,28,81,76,63,63,39,47,NaN
SY,2000,8,359,289,125,86,76,55,NaN,23,195,101,53,46,38,28,NaN
SZ,2000,11,130,352,249,138,37,17,NaN,10,198,298,62,62,24,5,NaN
TC,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TG,2000,4,101,168,144,109,48,39,NaN,13,107,124,50,36,24,15,NaN
TH,2000,27,859,2570,2380,2117,1908,2213,NaN,32,624,1035,780,873,1016,1321,NaN
TJ,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TK,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TM,2000,16,103,185,144,127,31,21,NaN,19,73,140,76,31,34,17,NaN
TN,2000,16,139,208,156,109,65,101,NaN,7,68,59,43,21,21,58,NaN
TO,2000,NaN,2,1,1,NaN,1,5,NaN,NaN,1,1,1,NaN,1,1,NaN
TR,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TT,2000,0,7,18,27,17,7,7,NaN,0,5,7,9,5,2,4,NaN
TV,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TZ,2000,200,2357,4836,3430,2022,1202,834,NaN,257,2106,3426,1738,868,494,269,NaN
UA,2000,21,693,1552,2385,2007,1062,532,NaN,41,487,590,447,298,218,405,NaN
UG,2000,283,1511,3497,2479,1279,607,395,NaN,400,1649,2782,1510,671,316,163,NaN
US,2000,6,365,602,906,904,577,738,NaN,14,246,376,349,253,152,396,NaN
UY,2000,0,36,48,45,41,30,34,NaN,2,28,22,21,13,12,16,NaN
UZ,2000,6,351,749,510,346,213,107,NaN,11,261,547,288,213,112,111,NaN
VC,2000,0,1,0,4,2,0,1,NaN,1,0,0,0,0,0,0,NaN
VE,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VG,2000,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VN,2000,51,2367,6147,8209,6713,5150,7712,NaN,64,1334,2320,2754,2594,2847,4907,NaN
VU,2000,2,7,5,1,10,5,2,NaN,5,3,15,7,3,3,1,NaN
WS,2000,0,3,1,1,1,2,1,NaN,0,2,1,1,0,0,0,NaN
YE,2000,110,789,689,493,314,255,127,NaN,161,799,627,517,345,247,92,NaN
YU,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ZA,2000,116,723,1999,2135,1146,435,212,NaN,122,1283,1716,933,423,167,80,NaN
ZM,2000,349,2175,2610,3045,435,261,174,NaN,150,932,1118,1305,186,112,75,NaN
ZW,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
